None;1;2;3;4;5;6;7;8;9;10
Горячие блюда готовые с Фабрики Кухни, обслуживание;Горячие блюда готовые с Фабрики Кухни, обслуживание;Горячие блюда готовые, обслуживание;Холодные блюда готовые с Фабрики Кухни, обслуживание;Пакеты для перепродажи;Выпечные и сдобные изделия, собственное производство;Кофе;Пироги и пицца, собственное производство;Традиционная молочная продукция;Хлеб, промышленное производство;Холодные блюда готовые, обслуживание
Горячие блюда готовые, обслуживание;Горячие блюда готовые, обслуживание;Холодные блюда готовые с Фабрики Кухни, обслуживание;Холодные блюда готовые, обслуживание;Горячие блюда готовые с Фабрики Кухни, обслуживание;Пакеты для перепродажи;Традиционная молочная продукция;Фрукты и ягоды;Горячие блюда готовые, собственная упаковка, самообслуживание;Пироги и пицца, собственное производство;Деликатесы мясные
Горячие блюда готовые, собственная упаковка, самообслуживание;Горячие блюда готовые, собственная упаковка, самообслуживание;Горячие блюда готовые, обслуживание;Пакеты для перепродажи;Холодные блюда готовые с Фабрики Кухни, обслуживание;Холодные блюда готовые, обслуживание;Выпечные и сдобные изделия, собственное производство;Лимонады;Современная молочная продукция;Традиционная молочная продукция;Кофе
Горячие блюда готовые, упаковка ФК, самообслуживание;Горячие блюда готовые, упаковка ФК, самообслуживание;Холодные блюда готовые, упаковка ФК, самообслуживание;Горячие блюда готовые, собственная упаковка, самообслуживание;Энергетики и спортивные напитки;Холодные блюда готовые с Фабрики Кухни, обслуживание;Горячие блюда готовые с Фабрики Кухни, обслуживание;Кофе;Лимонады;Пакеты для перепродажи;Выпечные и сдобные изделия, собственное производство
Готовое детское питание;Готовое детское питание;Детская молочная продукция;Детская каша;Детские напитки;Детская гигиена;Другое детское питание;Пакеты для перепродажи;Заменители молока;Традиционная молочная продукция;Современная молочная продукция
Грибы;Грибы;Зелень свежая;Овощи;Пакеты для перепродажи;Заправки;Сыры полутвердые сычужные;Консервы овощные;Фрукты и ягоды;Курица охлажденная;Яйцо куриное свежее
Грунты, удобрения, средства;Грунты, удобрения, средства;Фрукты и ягоды;Традиционная молочная продукция;Цветы и товары для цветоводства;Заправки;Посадочный материал;Конфеты;Сыры полутвердые сычужные;Чай;Овощи
Дезодоранты;Дезодоранты;Средства по уходу за волосами, аксессуары для волос;Пакеты для перепродажи;Средства по уходу за полостью рта;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Женская гигиена;Чай;Традиционная молочная продукция;Конфеты
Декоративная косметика;Декоративная косметика;Средства по уходу за лицом;Средства по уходу за волосами, аксессуары для волос;Пакеты для перепродажи;Детская гигиена;Универсальные гигиенические средства;Средства по уходу за полостью рта;Женская гигиена;Жевательная резинка и освежающие драже;Фрукты и ягоды
Деликатесы мясные;Деликатесы мясные;Традиционная молочная продукция;Колбасы;Фрукты и ягоды;Сыры полутвердые сычужные;Заправки;Пакеты для перепродажи;Овощи;Курица охлажденная;Конфеты
Детская галантерея;Детская галантерея;Школьные принадлежности;Детское нижнее белье;Рыба и морепродукты вяленые обслуживание;Баранки, сушки, сухари, галеты;Печенье;Вода лечебно-столовая;Заправки;Морепродукты глубокой заморозки;Чипсы
Детская гигиена;Детская гигиена;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Традиционная молочная продукция;Детские напитки;Макаронные изделия;Средства по уходу за полостью рта;Детская молочная продукция;Фрукты и ягоды;Универсальные гигиенические средства
Детская каша;Детская каша;Готовое детское питание;Детская молочная продукция;Детская гигиена;Детские напитки;Заменители молока;Другое детское питание;Пакеты для перепродажи;Современная молочная продукция;Макаронные изделия
Детская молочная продукция;Детская молочная продукция;Детские напитки;Готовое детское питание;Детская гигиена;Современная молочная продукция;Детская каша;Пакеты для перепродажи;Традиционная молочная продукция;Фигурный шоколад;Печенье
Детская обувь;Детская обувь;Детское нижнее белье;Игрушки;Детская гигиена;Школьные принадлежности;Книги;Фрукты и ягоды;Конфеты;Традиционная молочная продукция;Курица охлажденная
Детская одежда;Детская одежда;Детское нижнее белье;Школьные принадлежности;Ремни, перчатки;Игрушки;Детская гигиена;Книги;Пакеты для перепродажи;Конфеты;Детская молочная продукция
Детские напитки;Детские напитки;Детская молочная продукция;Детская гигиена;Готовое детское питание;Пакеты для перепродажи;Традиционная молочная продукция;Современная молочная продукция;Фрукты и ягоды;Фигурный шоколад;Печенье
Детское нижнее белье;Детское нижнее белье;Детская гигиена;Игрушки;Школьные принадлежности;Фрукты и ягоды;Традиционная молочная продукция;Женское нижнее белье;Пакеты для перепродажи;Конфеты;Книги
Джин-тоники слабоалкогольные;Джин-тоники слабоалкогольные;Фруктовые ароматизированные слабоалкогольные напитки;Другие слабоалкогольные напитки;Пиво производства России и СНГ;Водка;Сигареты;Пакеты для перепродажи;Соки, нектары, морсы, компоты;Лимонады;Заправки
Диабетические продукты;Диабетические продукты;Диетические продукты;Фрукты и ягоды;Традиционная молочная продукция;Современная молочная продукция;Пакеты для перепродажи;Орехи, сухофрукты;Овощи;Заправки;Хлеб, промышленное производство
Диетические продукты;Диетические продукты;Фрукты и ягоды;Традиционная молочная продукция;Пакеты для перепродажи;Орехи, сухофрукты;Сыры полутвердые сычужные;Овощи;Современная молочная продукция;Заправки;Чай
Дорожные аксессуары;Дорожные аксессуары;Компьютерная мультимедиа;Кукурузные палочки;Сухарики фасованные;Автоинструменты;Инсектициды и репелленты;Товары для отдыха;Чипсы;Товары для туризма;Запчасти для автомобилей
Дрожжи;Дрожжи;Мука;Традиционная молочная продукция;Заправки;Фрукты и ягоды;Крупы;Сахар, соль;Сыры полутвердые сычужные;Конфеты;Овощи
Другая птица глубокой заморозки;Другая птица глубокой заморозки;Заправки;Макаронные изделия;Крупы;Сахар, соль;Чай;Овощи;Пакеты для перепродажи;Приправы и специи;Туалетная бумага, полотенца, салфетки, скатерти
Другая птица охлажденная;Другая птица охлажденная;Фрукты и ягоды;Традиционная молочная продукция;Овощи;Курица охлажденная;Сыры полутвердые сычужные;Пакеты для перепродажи;Зелень свежая;Яйцо куриное свежее;Заправки
Другие виды спорта;Другие виды спорта;Стельки для обуви;Мыло;Универсальные гигиенические средства;Средства для стирки;Деликатесы мясные;Консервы мясные;Мед;Средства для обуви и одежды;Конфеты в коробках
Другие замороженные полуфабрикаты фирменная упаковка;Другие замороженные полуфабрикаты фирменная упаковка;Замороженные готовые блюда;Спортивные игры с мячом;Попкорн;Горячие блюда готовые, обслуживание;Холодные блюда готовые, фирменная упаковка, самообслуживание;Вода питьевая;Замороженные полуфабрикаты из мяса и птицы фирменная упаковка;Холодные блюда готовые, обслуживание;Деликатесы мясные
Другие консервы;Другие консервы;Сухие десерты, продукты для выпечки, крахмал;Зелень свежая;Холодный чай и холодный кофе;Элементы питания;Товары для жилых комнат;Женская гигиена;Средства по уходу за полостью рта;Приправы и специи;Уборочный инвентарь
Другие крепкие алкогольные напитки;Другие крепкие алкогольные напитки;Пакеты для перепродажи;Водка;Традиционная молочная продукция;Заправки;Колбасы;Деликатесы мясные;Фрукты и ягоды;Хлеб, промышленное производство;Сыры полутвердые сычужные
Другие слабоалкогольные напитки;Другие слабоалкогольные напитки;Фруктовые ароматизированные слабоалкогольные напитки;Джин-тоники слабоалкогольные;Сокосодержащие слабоалкогольные напитки;Продукты из сурими глубокой заморозки;Пиво производства России и СНГ;Сидры, медовуха, пуаре;Пакеты для перепродажи;Сигареты;Лимонады
Другие снэки;Другие снэки;Чипсы;Сухарики фасованные;Пиво производства России и СНГ;Замороженные готовые блюда;Пакеты для перепродажи;Кукурузные палочки;Сахар, соль;Печенье;Хлеб, промышленное производство
Другие строительные товары;Другие строительные товары;Пакеты для перепродажи;Традиционная молочная продукция;Автопринадлежности;Фрукты и ягоды;Заправки;Чай;Колбасы;Элементы питания;Туалетная бумага, полотенца, салфетки, скатерти
Другие табачные изделия и аксессуары;Другие табачные изделия и аксессуары;Сигареты;Пакеты для перепродажи;Кофе;Пиво производства России и СНГ;Лимонады;Жевательная резинка и освежающие драже;Заправки;Шоколадные батончики;Овощи
Другие товары к праздникам;Другие товары к праздникам;Пакеты для перепродажи;Печатная продукция;Традиционная молочная продукция;Конфеты;Фрукты и ягоды;Чай;Туалетная бумага, полотенца, салфетки, скатерти;Конфеты в коробках;Заправки
Другое детское питание;Другое детское питание;Готовое детское питание;Детская молочная продукция;Детские напитки;Детская гигиена;Детская каша;Пакеты для перепродажи;Традиционная молочная продукция;Печенье;Фрукты и ягоды
Другой ручной инструмент и инвентарь;Другой ручной инструмент и инвентарь;Автопринадлежности;Пакеты для перепродажи;Заправки;Электроинсталляционные товары;Фрукты и ягоды;Слесарно-монтажный инструмент;Традиционная молочная продукция;Туалетная бумага, полотенца, салфетки, скатерти;Другие строительные товары
Емкости для пищи;Емкости для пищи;Пакеты для перепродажи;Заправки;Традиционная молочная продукция;Чай;Фрукты и ягоды;Овощи;Туалетная бумага, полотенца, салфетки, скатерти;Макаронные изделия;Конфеты
Жевательная резинка и освежающие драже;Жевательная резинка и освежающие драже;Пакеты для перепродажи;Конфеты;Традиционная молочная продукция;Современная молочная продукция;Фрукты и ягоды;Заправки;Печенье;Шоколадные плитки;Соки, нектары, морсы, компоты
Женская гигиена;Женская гигиена;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Универсальные гигиенические средства;Традиционная молочная продукция;Средства по уходу за полостью рта;Средства по уходу за волосами, аксессуары для волос;Заправки;Чай;Фрукты и ягоды
Женская обувь;Женская обувь;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Чай;Конфеты;Овощи;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти;Сыры полутвердые сычужные
Женская одежда;Женская одежда;Традиционная молочная продукция;Фрукты и ягоды;Полотенца;Конфеты;Сыры полутвердые сычужные;Овощи;Женское нижнее белье;Колбасы;Чай
Женское нижнее белье;Женское нижнее белье;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Заправки;Чай;Туалетная бумага, полотенца, салфетки, скатерти;Сыры полутвердые сычужные;Средства по уходу за волосами, аксессуары для волос;Конфеты
Живое и разливное пиво;Живое и разливное пиво;Пакеты для перепродажи;Пиво производства России и СНГ;Рыба и морепродукты вяленые обслуживание;Соки, нектары, морсы, компоты;Заправки;Колбасы;Традиционная молочная продукция;Чипсы;Деликатесы мясные
Заменители молока;Заменители молока;Детская гигиена;Готовое детское питание;Детская каша;Детская молочная продукция;Детские напитки;Пакеты для перепродажи;Товары для новорожденных;Макаронные изделия;Традиционная молочная продукция
Замороженные готовые блюда;Замороженные готовые блюда;Сидры (САНы);Другие замороженные полуфабрикаты фирменная упаковка;Попкорн;Другие снэки;Холодные блюда готовые, фирменная упаковка, самообслуживание;Горячие блюда готовые, обслуживание;Сокосодержащие напитки и коктейли;Замороженные полуфабрикаты из теста фирменная упаковка;Мармелад
Замороженные полуфабрикаты из мяса и птицы весовые;Замороженные полуфабрикаты из мяса и птицы весовые;Макаронные изделия;Заправки;Замороженные полуфабрикаты из теста весовые;Пакеты для перепродажи;Овощи;Колбасы;Конфеты;Сахар, соль;Хлеб, промышленное производство
Замороженные полуфабрикаты из мяса и птицы фирменная упаковка;Замороженные полуфабрикаты из мяса и птицы фирменная упаковка;Заправки;Пакеты для перепродажи;Колбасы;Макаронные изделия;Традиционная молочная продукция;Замороженные полуфабрикаты из теста фирменная упаковка;Сосиски, сардельки, колбаски;Хлеб, промышленное производство;Печенье
Замороженные полуфабрикаты из рыбы и морепродуктов весовые;Замороженные полуфабрикаты из рыбы и морепродуктов весовые;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Конфеты;Овощи;Курица охлажденная;Колбасы;Рыба и морепродукты вяленые собственная упаковка, самообслуживание;Хлеб, промышленное производство
Замороженные полуфабрикаты из рыбы и морепродуктов фирменная упаковка;Замороженные полуфабрикаты из рыбы и морепродуктов фирменная упаковка;Полуфабрикаты из рыбы глубокой заморозки;Заправки;Пакеты для перепродажи;Современная молочная продукция;Соки, нектары, морсы, компоты;Сосиски, сардельки, колбаски;Замороженные полуфабрикаты из теста фирменная упаковка;Конфеты;Консервы овощные
Замороженные полуфабрикаты из теста весовые;Замороженные полуфабрикаты из теста весовые;Заправки;Макаронные изделия;Традиционная молочная продукция;Пакеты для перепродажи;Овощи;Колбасы;Сахар, соль;Конфеты;Хлеб, промышленное производство
Замороженные полуфабрикаты из теста фирменная упаковка;Замороженные полуфабрикаты из теста фирменная упаковка;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Колбасы;Курица охлажденная;Макаронные изделия;Сосиски, сардельки, колбаски;Хлеб, промышленное производство;Яйцо куриное свежее
Замороженные фрукты, овощи, ягоды, грибы весовые;Замороженные фрукты, овощи, ягоды, грибы весовые;Овощи;Фрукты и ягоды;Заправки;Традиционная молочная продукция;Туалетная бумага, полотенца, салфетки, скатерти;Пакеты для перепродажи;Сыры полутвердые сычужные;Зелень свежая;Крупы
Замороженные фрукты, овощи, ягоды, грибы фирменная упаковка;Замороженные фрукты, овощи, ягоды, грибы фирменная упаковка;Овощи;Пакеты для перепродажи;Зелень свежая;Заправки;Традиционная молочная продукция;Фрукты и ягоды;Консервы овощные;Яйцо куриное свежее;Современная молочная продукция
Заправки;Заправки;Традиционная молочная продукция;Овощи;Фрукты и ягоды;Макаронные изделия;Пакеты для перепродажи;Курица охлажденная;Чай;Колбасы;Сыры полутвердые сычужные
Запчасти для автомобилей;Запчасти для автомобилей;Автопринадлежности;Автохимия и автокосметика;Пакеты для перепродажи;Заправки;Эксплуатационные жидкости;Традиционная молочная продукция;Макаронные изделия;Фрукты и ягоды;Конфеты
Зелень свежая;Зелень свежая;Овощи;Фрукты и ягоды;Заправки;Пакеты для перепродажи;Традиционная молочная продукция;Консервы овощные;Сыры полутвердые сычужные;Яйцо куриное свежее;Курица охлажденная
Зефир;Зефир;Традиционная молочная продукция;Фрукты и ягоды;Конфеты;Сыры полутвердые сычужные;Печенье;Курица охлажденная;Пакеты для перепродажи;Заправки;Овощи
Зонты;Зонты;Пакеты для перепродажи;Фрукты и ягоды;Традиционная молочная продукция;Овощи;Конфеты;Заправки;Колбасы;Хлеб, промышленное производство;Чай
Игрушки;Игрушки;Фигурный шоколад;Детская гигиена;Пакеты для перепродажи;Книги;Конфеты;Традиционная молочная продукция;Фрукты и ягоды;Школьные принадлежности;Детское нижнее белье
Икра имитированная фирменная упаковка;Икра имитированная фирменная упаковка;Заправки;Традиционная молочная продукция;Пакеты для перепродажи;Пресервы рыбные и из морепродуктов;Фрукты и ягоды;Колбасы;Конфеты;Чай;Деликатесы мясные
Икра натуральная;Икра натуральная;Заправки;Фрукты и ягоды;Деликатесы мясные;Традиционная молочная продукция;Пакеты для перепродажи;Колбасы;Консервы овощные;Сыры полутвердые сычужные;Овощи
Импортное пиво;Импортное пиво;Пакеты для перепродажи;Вина тихие;Деликатесы мясные;Живое и разливное пиво;Консервы овощные;Детская молочная продукция;Яйцо куриное свежее;Соки, нектары, морсы, компоты;Традиционная молочная продукция
Инсектициды и репелленты;Инсектициды и репелленты;Фрукты и ягоды;Традиционная молочная продукция;Пакеты для перепродажи;Овощи;Заправки;Колбасы;Упаковочные и подсобные материалы;Деликатесы мясные;Яйцо куриное свежее
Какао;Какао;Традиционная молочная продукция;Заправки;Пакеты для перепродажи;Фрукты и ягоды;Конфеты;Сыры полутвердые сычужные;Чай;Печенье;Туалетная бумага, полотенца, салфетки, скатерти
Карты постоянного покупателя;Карты постоянного покупателя;Традиционная молочная продукция;Конфеты;Пакеты для перепродажи;Чай;Фрукты и ягоды;Колбасы;Овощи;Заправки;Деликатесы мясные
Каши;Каши;Традиционная молочная продукция;Фрукты и ягоды;Крупы;Пакеты для перепродажи;Заправки;Овощи;Сыры полутвердые сычужные;Курица охлажденная;Чай
Клеи;Клеи;Пакеты для перепродажи;Заправки;Традиционная молочная продукция;Фрукты и ягоды;Конфеты;Сахар, соль;Печенье;Туалетная бумага, полотенца, салфетки, скатерти;Овощи
Климатическая техника;Климатическая техника;Колбасы;Заправки;Конфеты;Пакеты для перепродажи;Чай;Овощи;Фрукты и ягоды;Средства по уходу за волосами, аксессуары для волос;Туалетная бумага, полотенца, салфетки, скатерти
Книги;Книги;Школьные принадлежности;Игрушки;Детская гигиена;Традиционная молочная продукция;Фрукты и ягоды;Конфеты;Пакеты для перепродажи;Фигурный шоколад;Детское нижнее белье
Козьи и овечьи сыры;Козьи и овечьи сыры;Сыры твердые сычужные;Сыры мягкие с плесенью;Другая птица охлажденная;Зелень свежая;Фрукты и ягоды;Сыры рассольные;Овощи;Вина тихие;Деликатесы мясные
Колбасы;Колбасы;Традиционная молочная продукция;Сыры полутвердые сычужные;Заправки;Фрукты и ягоды;Пакеты для перепродажи;Хлеб, промышленное производство;Деликатесы мясные;Курица охлажденная;Конфеты
Компьютерная мультимедиа;Компьютерная мультимедиа;Пакеты для перепродажи;Конфеты;Заправки;Крупы;Колбасы;Чай;Кофе;Фрукты и ягоды;Печенье
Компьютерная периферия;Компьютерная периферия;Электроинсталляционные товары;Элементы питания;Другой ручной инструмент и инвентарь;Рыба и морепродукты вяленые собственная упаковка, самообслуживание;Фрукты и ягоды;Пресса;Оборудование для фитнеса;Рыба и морепродукты вяленые обслуживание;Пакеты для перепродажи
Консервы мясные;Консервы мясные;Заправки;Традиционная молочная продукция;Колбасы;Макаронные изделия;Пакеты для перепродажи;Чай;Курица охлажденная;Конфеты;Консервы рыбные
Консервы овощные;Консервы овощные;Заправки;Овощи;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Сыры полутвердые сычужные;Колбасы;Курица охлажденная;Яйцо куриное свежее
Консервы рыбные;Консервы рыбные;Заправки;Традиционная молочная продукция;Овощи;Фрукты и ягоды;Колбасы;Консервы овощные;Курица охлажденная;Конфеты;Пакеты для перепродажи
Консервы фруктовые;Консервы фруктовые;Традиционная молочная продукция;Консервы овощные;Овощи;Фрукты и ягоды;Пакеты для перепродажи;Заправки;Туалетная бумага, полотенца, салфетки, скатерти;Яйцо куриное свежее;Чай
Конфеты;Конфеты;Традиционная молочная продукция;Фрукты и ягоды;Заправки;Пакеты для перепродажи;Чай;Печенье;Колбасы;Сыры полутвердые сычужные;Овощи
Конфеты в коробках;Конфеты в коробках;Традиционная молочная продукция;Пакеты для перепродажи;Фрукты и ягоды;Шоколадные плитки;Чай;Конфеты;Сыры полутвердые сычужные;Заправки;Печенье
Коньяки и бренди;Коньяки и бренди;Пакеты для перепродажи;Заправки;Фрукты и ягоды;Колбасы;Традиционная молочная продукция;Деликатесы мясные;Овощи;Сыры полутвердые сычужные;Вина тихие
Кости пищевые и суповые охлажденные;Кости пищевые и суповые охлажденные;Крупы;Овощи;Традиционная молочная продукция;Заправки;Фрукты и ягоды;Курица охлажденная;Пакеты для перепродажи;Хлеб, промышленное производство;Яйцо куриное свежее
Кофе;Кофе;Пакеты для перепродажи;Традиционная молочная продукция;Заправки;Конфеты;Чай;Фрукты и ягоды;Овощи;Сахар, соль;Колбасы
Крекеры;Крекеры;Традиционная молочная продукция;Конфеты;Печенье;Фрукты и ягоды;Заправки;Пряники, вафли, бисквиты, круассаны длительного хранения;Пакеты для перепродажи;Колбасы;Хлеб, промышленное производство
Крепленые вина;Крепленые вина;Пакеты для перепродажи;Заправки;Лимонады;Традиционная молочная продукция;Соки, нектары, морсы, компоты;Фрукты и ягоды;Колбасы;Сыры полутвердые сычужные;Овощи
Кролик охлажденный;Кролик охлажденный;Другая птица охлажденная;Субпродукты мясные охлажденные;Охлажденные рыба и морепродукты обслуживание;Зелень свежая;Овощи;Консервы овощные;Мука;Фрукты и ягоды;Импортное пиво
Крупная бытовая техника;Крупная бытовая техника;Вина тихие;Холодные блюда готовые, фирменная упаковка, самообслуживание;Женская одежда;Садовый инвентарь, оборудование  и техника;Сыры твердые сычужные;Консервы рыбные;Лампы;Другие строительные товары;Товары для дома универсальные
Крупы;Крупы;Традиционная молочная продукция;Заправки;Макаронные изделия;Фрукты и ягоды;Овощи;Сахар, соль;Курица охлажденная;Пакеты для перепродажи;Туалетная бумага, полотенца, салфетки, скатерти
Кукурузные палочки;Кукурузные палочки;Пакеты для перепродажи;Конфеты;Традиционная молочная продукция;Чипсы;Печенье;Заправки;Фрукты и ягоды;Макаронные изделия;Пряники, вафли, бисквиты, круассаны длительного хранения
Курица глубокой заморозки ;Курица глубокой заморозки ;Традиционная молочная продукция;Заправки;Курица охлажденная;Фрукты и ягоды;Крупы;Колбасы;Продукты для животных;Овощи;Пакеты для перепродажи
Курица охлажденная;Курица охлажденная;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Заправки;Овощи;Сыры полутвердые сычужные;Макаронные изделия;Колбасы;Яйцо куриное свежее
Кухонная утварь;Кухонная утварь;Заправки;Традиционная молочная продукция;Фрукты и ягоды;Пакеты для перепродажи;Конфеты;Овощи;Чай;Туалетная бумага, полотенца, салфетки, скатерти;Колбасы
Лакокрасочные материалы;Лакокрасочные материалы;Коньяки и бренди;Слесарно-монтажный инструмент;Автохимия и автокосметика;Сигареты;Средства для бритья и депиляции;Морепродукты глубокой заморозки;Другие строительные товары;Консервы рыбные;Жевательная резинка и освежающие драже
Лампы;Лампы;Пакеты для перепродажи;Заправки;Традиционная молочная продукция;Фрукты и ягоды;Туалетная бумага, полотенца, салфетки, скатерти;Чай;Овощи;Курица охлажденная;Сахар, соль
Ликеры;Ликеры;Пакеты для перепродажи;Шампанское и игристые вина;Пиво производства России и СНГ;Лимонады;Чипсы;Заправки;Соки, нектары, морсы, компоты;Туалетная бумага, полотенца, салфетки, скатерти;Другие крепкие алкогольные напитки
Лимонады;Лимонады;Пакеты для перепродажи;Чипсы;Соки, нектары, морсы, компоты;Заправки;Жевательная резинка и освежающие драже;Шоколадные батончики;Колбасы;Конфеты;Традиционная молочная продукция
Лососевые глубокой заморозки;Лососевые глубокой заморозки;Фрукты и ягоды;Белая рыба глубокой заморозки;Традиционная молочная продукция;Овощи;Сыры полутвердые сычужные;Заправки;Курица охлажденная;Конфеты;Хлеб, промышленное производство
Лыжи, лыжные аксессуары;Лыжи, лыжные аксессуары;Санки;Рыба соленая обслуживание;Книги;Ликеры;Школьные принадлежности;Сухарики фасованные;Полуфабрикаты из рыбы глубокой заморозки;Новогодние товары;Холодные блюда готовые, фирменная упаковка, самообслуживание
Макаронные изделия;Макаронные изделия;Заправки;Традиционная молочная продукция;Крупы;Пакеты для перепродажи;Курица охлажденная;Сахар, соль;Чай;Овощи;Колбасы
Мармелад;Мармелад;Пакеты для перепродажи;Конфеты;Традиционная молочная продукция;Фрукты и ягоды;Современная молочная продукция;Печенье;Сыры полутвердые сычужные;Пряники, вафли, бисквиты, круассаны длительного хранения;Заправки
Масла;Масла;Эксплуатационные жидкости;Пакеты для перепродажи;Автохимия и автокосметика;Заправки;Автопринадлежности;Традиционная молочная продукция;Фрукты и ягоды;Хлеб, собственное производство;Макаронные изделия
